"","pairs.pair1","pairs.pair2","pairs.say"
"98","threat","coast","threat"
"62","bag","coast","bag"
"125","coast","meter","coast"
"122","shore","cheek","shore"
"50","purse","cheek","purse"
"128","coast","game","game"
"32","purse","threat","purse"
"113","shore","meter","meter"
"92","danger","cheek","danger"
"104","threat","game","threat"
"38","purse","coast","coast"
"71","bag","vitamin","vitamin"
"53","bag","danger","bag"
"83","danger","meter","danger"
"89","danger","vitamin","vitamin"
"65","bag","meter","meter"
"110","threat","cheek","cheek"
"47","purse","vitamin","purse"
"119","shore","vitamin","shore"
"14","meter","vitamin","meter"
"11","meter","game","game"
"8","shore","coast","shore"
"41","purse","meter","purse"
"20","game","vitamin","game"
"101","threat","meter","threat"
"95","threat","shore","threat"
"44","purse","game","game"
"77","danger","shore","danger"
"29","purse","danger","danger"
"134","coast","cheek","cheek"
"80","danger","coast","coast"
"131","coast","vitamin","vitamin"
"107","threat","vitamin","vitamin"
"74","bag","cheek","bag"
"86","danger","game","danger"
"59","bag","shore","bag"
"116","shore","game","shore"
"17","meter","cheek","cheek"
"56","bag","threat","bag"
"2","purse","bag","purse"
"68","bag","game","game"
"35","purse","shore","shore"
"5","danger","threat","threat"
"26","vitamin","cheek","cheek"
"23","game","cheek","cheek"
"63","bag","coast","bag"
"57","bag","threat","bag"
"10","meter","game","game"
"69","bag","game","bag"
"72","bag","vitamin","vitamin"
"3","purse","bag","bag"
"67","bag","game","bag"
"34","purse","shore","purse"
"22","game","cheek","game"
"54","bag","danger","danger"
"99","threat","coast","coast"
"94","threat","shore","threat"
"7","shore","coast","shore"
"93","danger","cheek","danger"
"100","threat","meter","meter"
"49","purse","cheek","cheek"
"24","game","cheek","game"
"6","danger","threat","danger"
"36","purse","shore","purse"
"97","threat","coast","threat"
"60","bag","shore","shore"
"40","purse","meter","meter"
"87","danger","game","danger"
"115","shore","game","game"
"28","purse","danger","purse"
"112","shore","meter","shore"
"21","game","vitamin","vitamin"
"12","meter","game","meter"
"130","coast","vitamin","coast"
"127","coast","game","coast"
"117","shore","game","shore"
"58","bag","shore","bag"
"15","meter","vitamin","vitamin"
"4","danger","threat","danger"
"84","danger","meter","danger"
"121","shore","cheek","shore"
"90","danger","vitamin","danger"
"82","danger","meter","meter"
"126","coast","meter","coast"
"129","coast","game","game"
"114","shore","meter","shore"
"19","game","vitamin","game"
"103","threat","game","game"
"16","meter","cheek","meter"
"43","purse","game","purse"
"88","danger","vitamin","vitamin"
"37","purse","coast","purse"
"45","purse","game","purse"
"66","bag","meter","meter"
"120","shore","vitamin","shore"
"91","danger","cheek","danger"
"109","threat","cheek","cheek"
"52","bag","danger","bag"
"70","bag","vitamin","bag"
"9","shore","coast","shore"
"1","purse","bag","purse"
"108","threat","vitamin","vitamin"
"18","meter","cheek","cheek"
"79","danger","coast","coast"
"64","bag","meter","meter"
"76","danger","shore","shore"
"123","shore","cheek","cheek"
"132","coast","vitamin","vitamin"
"51","purse","cheek","cheek"
"135","coast","cheek","coast"
"133","coast","cheek","cheek"
"106","threat","vitamin","threat"
"25","vitamin","cheek","vitamin"
"42","purse","meter","purse"
"85","danger","game","game"
"124","coast","meter","coast"
"105","threat","game","game"
"81","danger","coast","danger"
"111","threat","cheek","threat"
"73","bag","cheek","cheek"
"118","shore","vitamin","shore"
"75","bag","cheek","cheek"
"61","bag","coast","coast"
"78","danger","shore","danger"
"102","threat","meter","threat"
"13","meter","vitamin","meter"
"39","purse","coast","coast"
"31","purse","threat","threat"
"55","bag","threat","threat"
"27","vitamin","cheek","vitamin"
"33","purse","threat","threat"
"46","purse","vitamin","purse"
"48","purse","vitamin","vitamin"
"30","purse","danger","purse"
"96","threat","shore","threat"
