iterationNum,speakerAlpha,listenerAlpha,discountFactor,guessingEpsilon,time,                 speakerID,listenerID,intendedName, word1, word2, topSpeakerChoice,topListenerChoice,correctProb,correct
0,1,1,0.97,0.01,0,1,2,coat,coat,kidney,qonuwena,kidney,0.498517500436044,false
0,1,1,0.97,0.01,1,2,1,task,task,month,piho,month,0.491214109739093,false
0,1,1,0.97,0.01,2,1,2,author,author,stream,nuha,stream,0.47122881040673,false
0,1,1,0.97,0.01,3,2,1,area,area,job,qosa,area,0.427734703210684,true
0,1,1,0.97,0.01,4,1,2,author,author,task,fori,author,0.402307051010542,true
0,1,1,0.97,0.01,5,2,1,task,task,coat,runo,task,0.45674532679333,true
0,1,1,0.97,0.01,6,1,2,month,month,stream,nuha,stream,0.072172378609654,false
0,1,1,0.97,0.01,7,2,1,kidney,month,kidney,qosa,month,0.156387023030489,false
0,1,1,0.97,0.01,8,1,2,creator,creator,coat,fori,creator,0.813670686560313,true
0,1,1,0.97,0.01,9,2,1,kidney,author,kidney,nuha,author,0.199302049524528,false
0,1,1,0.97,0.01,10,1,2,job,author,job,runo,job,0.683984851037881,true
0,1,1,0.97,0.01,11,2,1,stream,job,stream,fori,job,0.38272701888425,false
0,1,1,0.97,0.01,12,1,2,month,month,stream,piho,month,0.710872594599308,true
0,1,1,0.97,0.01,13,2,1,job,task,job,fori,task,0.072404348435039,false
0,1,1,0.97,0.01,14,1,2,task,task,kidney,qosa,kidney,0.060335831650133,false
0,1,1,0.97,0.01,15,2,1,area,area,author,qosa,area,0.840623853017338,true
0,1,1,0.97,0.01,16,1,2,zone,area,zone,runo,zone,0.950501039178334,true
0,1,1,0.97,0.01,17,2,1,zone,area,zone,runo,zone,0.844729716971425,true
0,1,1,0.97,0.01,18,1,2,stream,stream,kidney,nuha,stream,0.572585148649084,true
0,1,1,0.97,0.01,19,2,1,creator,author,creator,fori,creator,0.514703421667341,true
0,1,1,0.97,0.01,20,1,2,creator,creator,kidney,fori,creator,0.918288941012372,true
0,1,1,0.97,0.01,21,2,1,author,author,month,nuha,author,0.954884032449941,true
0,1,1,0.97,0.01,22,1,2,zone,zone,month,runo,zone,0.968188794518376,true
0,1,1,0.97,0.01,23,2,1,area,area,month,qosa,area,0.973180980204362,true
0,1,1,0.97,0.01,24,1,2,author,author,creator,piho,author,0.761690976118,true
0,1,1,0.97,0.01,25,2,1,zone,zone,task,runo,zone,0.839614205017634,true
0,1,1,0.97,0.01,26,1,2,coat,coat,month,piho,month,0.358353704019329,false
0,1,1,0.97,0.01,27,2,1,coat,area,coat,fori,coat,0.383753488743038,true
0,1,1,0.97,0.01,28,1,2,coat,author,coat,nuha,author,0.165068553079162,false
0,1,1,0.97,0.01,29,2,1,area,area,zone,qosa,area,0.971078341207417,true
0,1,1,0.97,0.01,30,1,2,job,task,job,qosa,job,0.505668353739211,true
0,1,1,0.97,0.01,31,2,1,creator,author,creator,fori,creator,0.989163124914674,true
0,1,1,0.97,0.01,32,1,2,area,area,zone,fori,zone,0.489356516844127,false
0,1,1,0.97,0.01,33,2,1,task,task,job,runo,task,0.7834670543907,true
0,1,1,0.97,0.01,34,1,2,stream,stream,kidney,qosa,kidney,0.518681846359262,false
0,1,1,0.97,0.01,35,2,1,stream,task,stream,runo,task,0.411281427160605,false
0,1,1,0.97,0.01,36,1,2,job,task,job,piho,job,0.7820136573292,true
0,1,1,0.97,0.01,37,2,1,task,area,task,runo,task,0.464354629315838,true
0,1,1,0.97,0.01,38,1,2,month,coat,month,piho,coat,0.356693299873029,false
0,1,1,0.97,0.01,39,2,1,kidney,area,kidney,fori,area,0.045064427100706,false
0,1,1,0.97,0.01,40,1,2,coat,coat,stream,qosa,stream,0.429700803114507,false
0,1,1,0.97,0.01,41,2,1,stream,area,stream,piho,stream,0.166581691589106,true
0,1,1,0.97,0.01,42,1,2,kidney,coat,kidney,fori,coat,0.241246287314901,false
0,1,1,0.97,0.01,43,2,1,month,month,stream,piho,stream,0.36708834654682,false
0,1,1,0.97,0.01,44,1,2,area,area,stream,qosa,stream,0.758250009457896,false
0,1,1,0.97,0.01,45,2,1,area,area,coat,qosa,area,0.977514331595219,true
0,1,1,0.97,0.01,46,1,2,task,task,job,piho,job,0.020911778596846,false
0,1,1,0.97,0.01,47,2,1,coat,coat,month,qosa,month,0.024162002931967,false
0,1,1,0.97,0.01,48,1,2,area,area,zone,fori,zone,0.44995492028042,false
0,1,1,0.97,0.01,49,2,1,job,task,job,nuha,task,0.061949288751989,false
0,1,1,0.97,0.01,50,1,2,task,task,month,fori,month,0.018381445762064,false
0,1,1,0.97,0.01,51,2,1,job,zone,job,piho,job,0.990827593482166,true
0,1,1,0.97,0.01,52,1,2,zone,zone,creator,fori,zone,0.616174497231859,true
0,1,1,0.97,0.01,53,2,1,area,area,month,fori,month,0.442616625902668,false
0,1,1,0.97,0.01,54,1,2,task,task,month,runo,task,0.970020847143716,true
0,1,1,0.97,0.01,55,2,1,kidney,task,kidney,runo,task,0.175198520074085,false
0,1,1,0.97,0.01,56,1,2,coat,coat,month,runo,coat,0.836521753378993,true
0,1,1,0.97,0.01,57,2,1,creator,creator,task,nonuhete,creator,0.767275255485907,true
0,1,1,0.97,0.01,58,1,2,job,job,coat,piho,job,0.520376711966037,true
0,1,1,0.97,0.01,59,2,1,zone,area,zone,qosa,area,0.023454611548056,false
0,1,1,0.97,0.01,60,1,2,zone,zone,stream,fori,zone,0.977330247190557,true
0,1,1,0.97,0.01,61,2,1,coat,task,coat,piho,task,0.580118726432865,false
0,1,1,0.97,0.01,62,1,2,task,task,coat,runo,task,0.578242707649293,true
0,1,1,0.97,0.01,63,2,1,month,author,month,fori,author,0.644507960262499,false
0,1,1,0.97,0.01,64,1,2,month,coat,month,nonuhete,coat,0.062147597180516,false
0,1,1,0.97,0.01,65,2,1,creator,author,creator,nuha,author,0.436414623289907,false
0,1,1,0.97,0.01,66,1,2,coat,author,coat,nonuhete,coat,0.928672986277917,true
0,1,1,0.97,0.01,67,2,1,creator,author,creator,runo,author,0.540743022175826,false
0,1,1,0.97,0.01,68,1,2,zone,area,zone,qosa,area,0.245062241444717,false
0,1,1,0.97,0.01,69,2,1,job,task,job,piho,job,0.987532984788615,true
0,1,1,0.97,0.01,70,1,2,kidney,coat,kidney,runo,coat,0.377363069676601,false
0,1,1,0.97,0.01,71,2,1,author,author,creator,nuha,creator,0.478093173250145,false
0,1,1,0.97,0.01,72,1,2,author,author,creator,piho,author,0.633648283398028,true
0,1,1,0.97,0.01,73,2,1,month,area,month,nonuhete,month,0.468723917169369,true
0,1,1,0.97,0.01,74,1,2,task,author,task,runo,task,0.628238109138593,true
0,1,1,0.97,0.01,75,2,1,job,job,kidney,piho,job,0.81865244249401,true
0,1,1,0.97,0.01,76,1,2,area,area,kidney,qosa,area,0.56766565855945,true
0,1,1,0.97,0.01,77,2,1,coat,coat,kidney,nonuhete,kidney,0.891416517274687,false
0,1,1,0.97,0.01,78,1,2,area,area,author,qosa,author,0.848122396726637,false
0,1,1,0.97,0.01,79,2,1,author,author,creator,piho,creator,0.316819541213394,false
0,1,1,0.97,0.01,80,1,2,author,author,creator,piho,creator,0.874099503620074,false
0,1,1,0.97,0.01,81,2,1,month,month,stream,nonuhete,month,0.693539689709862,true
0,1,1,0.97,0.01,82,1,2,area,area,task,qosa,area,0.868646734453603,true
0,1,1,0.97,0.01,83,2,1,stream,stream,kidney,fori,kidney,0.537263427194389,false
0,1,1,0.97,0.01,84,1,2,stream,coat,stream,qosa,coat,0.41028797614566,false
0,1,1,0.97,0.01,85,2,1,stream,author,stream,piho,author,0.131359080656882,false
0,1,1,0.97,0.01,86,1,2,area,area,task,qosa,task,0.808686812036961,false
0,1,1,0.97,0.01,87,2,1,kidney,area,kidney,fori,kidney,0.918879901795134,true
0,1,1,0.97,0.01,88,1,2,month,month,kidney,nonuhete,month,0.99790711193044,true
0,1,1,0.97,0.01,89,2,1,kidney,zone,kidney,fori,kidney,0.786652991505872,true
0,1,1,0.97,0.01,90,1,2,area,area,author,qosa,area,0.868165858629811,true
0,1,1,0.97,0.01,91,2,1,zone,area,zone,runo,zone,0.947908378795432,true
0,1,1,0.97,0.01,92,1,2,month,month,kidney,nonuhete,month,0.997974012513912,true
0,1,1,0.97,0.01,93,2,1,coat,coat,kidney,nuha,coat,0.906272760443898,true
0,1,1,0.97,0.01,94,1,2,creator,author,creator,piho,creator,0.675149061535069,true
0,1,1,0.97,0.01,95,2,1,coat,zone,coat,nuha,coat,0.792790654461112,true
0,1,1,0.97,0.01,96,1,2,creator,creator,month,piho,creator,0.989682101223501,true
0,1,1,0.97,0.01,97,2,1,coat,coat,stream,nuha,stream,0.647184470304509,false
0,1,1,0.97,0.01,98,1,2,creator,area,creator,piho,creator,0.97785639293198,true
0,1,1,0.97,0.01,99,2,1,stream,month,stream,runo,month,0.946035563059604,false
0,1,1,0.97,0.01,100,1,2,author,author,coat,fori,author,0.975847186708794,true
0,1,1,0.97,0.01,101,2,1,author,author,stream,nuha,stream,0.150778741602008,false
0,1,1,0.97,0.01,102,1,2,task,task,job,runo,task,0.483551718953513,true
0,1,1,0.97,0.01,103,2,1,creator,author,creator,piho,author,0.854616177218175,false
0,1,1,0.97,0.01,104,1,2,kidney,task,kidney,fori,kidney,0.880685639845983,true
0,1,1,0.97,0.01,105,2,1,author,author,kidney,piho,author,0.974756382814526,true
0,1,1,0.97,0.01,106,1,2,author,author,month,nonuhete,month,0.007367013973069,false
0,1,1,0.97,0.01,107,2,1,month,month,kidney,runo,month,0.679164778959962,true
0,1,1,0.97,0.01,108,1,2,kidney,month,kidney,fori,kidney,0.996711289848062,true
0,1,1,0.97,0.01,109,2,1,stream,area,stream,nuha,stream,0.836199088790208,true
0,1,1,0.97,0.01,110,1,2,job,task,job,qonuwena,job,0.516350235415345,true
0,1,1,0.97,0.01,111,2,1,stream,coat,stream,nuha,coat,0.213003091442524,false
0,1,1,0.97,0.01,112,1,2,task,task,stream,nonuhete,task,0.92363115967459,true
0,1,1,0.97,0.01,113,2,1,month,job,month,runo,month,0.941589244678502,true
0,1,1,0.97,0.01,114,1,2,creator,creator,job,qosa,job,0.287331403439263,false
0,1,1,0.97,0.01,115,2,1,kidney,author,kidney,fori,kidney,0.851441435386069,true
0,1,1,0.97,0.01,116,1,2,kidney,stream,kidney,fori,stream,0.990170742225686,false
0,1,1,0.97,0.01,117,2,1,area,area,coat,nuha,area,0.251585475931835,true
0,1,1,0.97,0.01,118,1,2,zone,area,zone,qosa,zone,0.523196144005964,true
0,1,1,0.97,0.01,119,2,1,stream,creator,stream,nuha,stream,0.968131129633427,true
0,1,1,0.97,0.01,120,1,2,job,task,job,qonuwena,job,0.722831150568506,true
1,1,1,0.97,0.01,0,1,2,coat,coat,kidney,fori,kidney,0.459851473902057,false
1,1,1,0.97,0.01,1,2,1,task,task,month,nuha,task,0.504339654273104,true
1,1,1,0.97,0.01,2,1,2,author,author,stream,qonuwena,author,0.530298747227481,true
1,1,1,0.97,0.01,3,2,1,area,area,job,fori,job,0.384487337072789,false
1,1,1,0.97,0.01,4,1,2,author,author,task,qonuwena,author,0.976537390335815,true
1,1,1,0.97,0.01,5,2,1,task,task,coat,nuha,coat,0.764191919458981,false
1,1,1,0.97,0.01,6,1,2,month,month,stream,nuha,stream,0.444633036546939,false
1,1,1,0.97,0.01,7,2,1,kidney,month,kidney,qosa,month,0.068708921804802,false
1,1,1,0.97,0.01,8,1,2,creator,creator,coat,piho,creator,0.663081763694452,true
1,1,1,0.97,0.01,9,2,1,kidney,author,kidney,runo,author,0.439628782466291,false
1,1,1,0.97,0.01,10,1,2,job,author,job,fori,job,0.971798871130033,true
1,1,1,0.97,0.01,11,2,1,stream,job,stream,piho,job,0.148381123387265,false
1,1,1,0.97,0.01,12,1,2,month,month,stream,runo,stream,0.063479197860157,false
1,1,1,0.97,0.01,13,2,1,job,task,job,fori,job,0.692846214285488,true
1,1,1,0.97,0.01,14,1,2,task,task,kidney,qosa,kidney,0.383652738759562,false
1,1,1,0.97,0.01,15,2,1,area,area,author,qonuwena,author,0.075903674471728,false
1,1,1,0.97,0.01,16,1,2,zone,area,zone,runo,zone,0.469489301501054,true
1,1,1,0.97,0.01,17,2,1,zone,area,zone,fori,area,0.229724982791336,false
1,1,1,0.97,0.01,18,1,2,stream,stream,kidney,runo,kidney,0.525523833406677,false
1,1,1,0.97,0.01,19,2,1,creator,author,creator,piho,creator,0.950710417193014,true
1,1,1,0.97,0.01,20,1,2,creator,creator,kidney,piho,creator,0.916355767317203,true
1,1,1,0.97,0.01,21,2,1,author,author,month,qonuwena,author,0.916088166995579,true
1,1,1,0.97,0.01,22,1,2,zone,zone,month,nuha,zone,0.416088600679587,true
1,1,1,0.97,0.01,23,2,1,area,area,month,qosa,area,0.598057114682897,true
1,1,1,0.97,0.01,24,1,2,author,author,creator,qonuwena,author,0.995464597254767,true
1,1,1,0.97,0.01,25,2,1,zone,zone,task,nonuhete,task,0.595146822558642,false
1,1,1,0.97,0.01,26,1,2,coat,coat,month,nonuhete,month,0.1135267615182,false
1,1,1,0.97,0.01,27,2,1,coat,area,coat,nuha,coat,0.526235448043209,true
1,1,1,0.97,0.01,28,1,2,coat,author,coat,nuha,coat,0.987376539716769,true
1,1,1,0.97,0.01,29,2,1,area,area,zone,qosa,area,0.503725812958186,true
1,1,1,0.97,0.01,30,1,2,job,task,job,fori,job,0.76166342106623,true
1,1,1,0.97,0.01,31,2,1,creator,author,creator,piho,creator,0.988319469631675,true
1,1,1,0.97,0.01,32,1,2,area,area,zone,piho,zone,0.027275950955255,false
1,1,1,0.97,0.01,33,2,1,task,task,job,qosa,task,0.972371107629602,true
1,1,1,0.97,0.01,34,1,2,stream,stream,kidney,qonuwena,kidney,0.35776511932211,false
1,1,1,0.97,0.01,35,2,1,stream,task,stream,piho,task,0.570295975908475,false
1,1,1,0.97,0.01,36,1,2,job,task,job,fori,job,0.987083388001927,true
1,1,1,0.97,0.01,37,2,1,task,area,task,qosa,area,0.523485872571495,false
1,1,1,0.97,0.01,38,1,2,month,coat,month,nonuhete,coat,0.420753924079895,false
1,1,1,0.97,0.01,39,2,1,kidney,area,kidney,fori,area,0.033471912473945,false
1,1,1,0.97,0.01,40,1,2,coat,coat,stream,nuha,coat,0.812444797576791,true
1,1,1,0.97,0.01,41,2,1,stream,area,stream,nuha,stream,0.509008889029535,true
1,1,1,0.97,0.01,42,1,2,kidney,coat,kidney,runo,kidney,0.935199874084031,true
1,1,1,0.97,0.01,43,2,1,month,month,stream,qosa,month,0.386433663608651,true
1,1,1,0.97,0.01,44,1,2,area,area,stream,fori,stream,0.695980981580049,false
1,1,1,0.97,0.01,45,2,1,area,area,coat,qosa,area,0.982670897198877,true
1,1,1,0.97,0.01,46,1,2,task,task,job,nuha,job,0.122597734498424,false
