"","pairs.pair1","pairs.pair2","pairs.say"
"44","coat","kidney","coat"
"101","task","month","task"
"92","author","stream","author"
"110","area","job","area"
"83","author","task","author"
"98","task","coat","task"
"50","month","stream","month"
"56","month","kidney","kidney"
"122","creator","coat","creator"
"95","author","kidney","kidney"
"119","author","job","job"
"128","job","stream","stream"
"53","month","stream","month"
"32","task","job","job"
"107","task","kidney","task"
"65","area","author","area"
"11","area","zone","zone"
"8","area","zone","zone"
"59","stream","kidney","stream"
"14","author","creator","creator"
"125","creator","kidney","creator"
"89","author","month","author"
"116","zone","month","zone"
"74","area","month","area"
"20","author","creator","author"
"113","zone","task","zone"
"35","coat","month","coat"
"71","area","coat","coat"
"86","author","coat","coat"
"5","area","zone","area"
"29","task","job","job"
"17","author","creator","creator"
"2","area","zone","area"
"23","task","job","task"
"62","stream","kidney","stream"
"104","task","stream","stream"
"26","task","job","job"
"68","area","task","task"
"38","coat","month","month"
"80","area","kidney","kidney"
"41","coat","stream","coat"
"77","area","stream","stream"
"47","coat","kidney","kidney"
"51","month","stream","month"
"78","area","stream","area"
"72","area","coat","area"
"25","task","job","task"
"37","coat","month","coat"
"7","area","zone","area"
"31","task","job","job"
"102","task","month","task"
"114","zone","job","job"
"112","zone","creator","zone"
"73","area","month","area"
"100","task","month","task"
"108","task","kidney","kidney"
"36","coat","month","coat"
"120","creator","task","creator"
"126","job","coat","job"
"4","area","zone","zone"
"117","zone","stream","zone"
"99","task","coat","coat"
"97","task","coat","task"
"88","author","month","month"
"34","coat","month","month"
"22","author","creator","creator"
"87","author","coat","coat"
"16","author","creator","creator"
"10","area","zone","zone"
"27","task","job","job"
"48","coat","kidney","kidney"
"12","author","creator","author"
"21","author","creator","author"
"75","area","month","month"
"82","author","task","task"
"129","job","kidney","job"
"79","area","kidney","area"
"46","coat","kidney","coat"
"66","area","author","area"
"18","author","creator","author"
"15","author","creator","author"
"52","month","stream","month"
"67","area","task","area"
"61","stream","kidney","stream"
"40","coat","stream","stream"
"91","author","stream","stream"
"69","area","task","area"
"81","area","kidney","kidney"
"57","month","kidney","month"
"118","zone","kidney","kidney"
"64","area","author","area"
"1","area","zone","zone"
"58","month","kidney","month"
"45","coat","kidney","coat"
"13","author","creator","creator"
"115","zone","coat","coat"
"123","creator","month","creator"
"43","coat","stream","coat"
"109","area","creator","creator"
"49","month","stream","stream"
"85","author","coat","author"
"93","author","stream","author"
"28","task","job","task"
"19","author","creator","creator"
"106","task","kidney","kidney"
"96","author","kidney","author"
"90","author","month","author"
"55","month","kidney","month"
"54","month","kidney","kidney"
"76","area","stream","stream"
"30","task","job","job"
"42","coat","stream","stream"
"103","task","stream","task"
"127","job","month","month"
"121","creator","job","creator"
"94","author","kidney","kidney"
"60","stream","kidney","kidney"
"70","area","coat","area"
"9","area","zone","zone"
"124","creator","stream","stream"
"33","task","job","job"
"63","stream","kidney","kidney"
"111","zone","author","author"
"84","author","task","task"
"24","task","job","task"
"39","coat","stream","stream"
"6","area","zone","zone"
"105","task","stream","stream"
"3","area","zone","zone"
