"","pairs.pair1","pairs.pair2","pairs.say"
"26","author","creator","author"
"62","style","drizzle","style"
"11","drizzle","rain","drizzle"
"149","rain","hut","rain"
"71","style","hut","hut"
"128","author","legion","legion"
"137","style","creator","creator"
"23","author","creator","author"
"143","fashion","driver","fashion"
"104","drizzle","driver","driver"
"110","drizzle","legion","drizzle"
"2","style","fashion","style"
"101","drizzle","driver","driver"
"8","style","fashion","fashion"
"122","author","driver","author"
"146","drizzle","creator","creator"
"38","hut","legion","hut"
"95","drizzle","author","drizzle"
"80","style","driver","style"
"41","hut","muscle","muscle"
"17","drizzle","rain","rain"
"113","drizzle","muscle","muscle"
"107","drizzle","legion","legion"
"92","drizzle","author","drizzle"
"59","legion","muscle","legion"
"140","fashion","author","fashion"
"29","author","creator","creator"
"119","author","hut","hut"
"116","author","hut","author"
"65","style","drizzle","style"
"98","drizzle","hut","hut"
"50","driver","legion","driver"
"89","style","muscle","muscle"
"68","style","author","style"
"53","driver","muscle","driver"
"14","drizzle","rain","rain"
"125","author","driver","author"
"155","creator","legion","creator"
"74","style","hut","hut"
"56","legion","muscle","legion"
"86","style","muscle","muscle"
"47","driver","legion","driver"
"83","style","legion","legion"
"20","drizzle","rain","rain"
"35","hut","driver","hut"
"77","style","driver","style"
"152","rain","muscle","rain"
"32","hut","driver","driver"
"134","author","muscle","muscle"
"44","hut","muscle","muscle"
"131","author","muscle","author"
"5","style","fashion","fashion"
"118","author","hut","author"
"106","drizzle","legion","drizzle"
"40","hut","legion","hut"
"81","style","legion","style"
"30","author","creator","author"
"21","author","creator","creator"
"103","drizzle","driver","drizzle"
"70","style","author","style"
"135","author","muscle","author"
"37","hut","legion","legion"
"33","hut","driver","driver"
"82","style","legion","legion"
"22","author","creator","creator"
"6","style","fashion","fashion"
"151","rain","legion","rain"
"114","drizzle","muscle","muscle"
"150","rain","driver","driver"
"120","author","hut","hut"
"3","style","fashion","style"
"94","drizzle","author","author"
"49","driver","legion","legion"
"78","style","driver","driver"
"46","driver","legion","driver"
"19","drizzle","rain","rain"
"109","drizzle","legion","drizzle"
"90","style","muscle","style"
"148","rain","creator","rain"
"117","author","hut","author"
"96","drizzle","hut","hut"
"126","author","legion","legion"
"39","hut","legion","hut"
"18","drizzle","rain","drizzle"
"9","style","fashion","style"
"51","driver","muscle","driver"
"147","rain","author","rain"
"142","fashion","hut","hut"
"141","fashion","creator","creator"
"115","drizzle","muscle","drizzle"
"144","fashion","legion","legion"
"54","driver","muscle","driver"
"133","author","muscle","muscle"
"111","drizzle","muscle","muscle"
"88","style","muscle","muscle"
"127","author","legion","author"
"73","style","hut","hut"
"34","hut","driver","hut"
"13","drizzle","rain","rain"
"85","style","legion","legion"
"16","drizzle","rain","rain"
"136","style","rain","style"
"61","style","drizzle","drizzle"
"55","driver","muscle","muscle"
"91","drizzle","author","drizzle"
"76","style","driver","driver"
"12","drizzle","rain","drizzle"
"48","driver","legion","driver"
"7","style","fashion","style"
"97","drizzle","hut","hut"
"121","author","driver","driver"
"24","author","creator","author"
"31","hut","driver","driver"
"93","drizzle","author","drizzle"
"102","drizzle","driver","driver"
"79","style","driver","driver"
"4","style","fashion","fashion"
"153","creator","hut","hut"
"10","style","fashion","style"
"99","drizzle","hut","drizzle"
"52","driver","muscle","muscle"
"108","drizzle","legion","drizzle"
"156","creator","muscle","creator"
"42","hut","muscle","muscle"
"112","drizzle","muscle","muscle"
"60","legion","muscle","muscle"
"43","hut","muscle","muscle"
"69","style","author","style"
"87","style","muscle","muscle"
"145","fashion","muscle","muscle"
"25","author","creator","author"
"72","style","hut","hut"
"130","author","legion","author"
"123","author","driver","author"
"63","style","drizzle","style"
"84","style","legion","legion"
"28","author","creator","creator"
"67","style","author","author"
"75","style","hut","hut"
"58","legion","muscle","legion"
"138","fashion","drizzle","fashion"
"27","author","creator","creator"
"57","legion","muscle","legion"
"45","hut","muscle","hut"
"36","hut","legion","legion"
"154","creator","driver","driver"
"124","author","driver","driver"
"132","author","muscle","muscle"
"139","fashion","rain","fashion"
"105","drizzle","driver","drizzle"
"1","style","fashion","style"
"64","style","drizzle","style"
"15","drizzle","rain","rain"
"100","drizzle","hut","drizzle"
"129","author","legion","legion"
"66","style","author","author"
